buttonLabel,buttonValue
A,28.98896653
B,10.89040088
O,58.02648032
AB,1.758477966
D,82.00036778
D+C+c+E-e+,24.49525561
D+C+c-E-e+,20.84376609
D+C+c+E+e+,10.10551673
D+C-c+E+e+,8.908937547
D+C-c+E+e-,3.178815885
D+C-c+E-e+,13.86642175
D+C+c-E+e+,0.446122714
D+C+c+E+e-,0.368704553
D+C+c-E+e-,0.030643163
D-C-c+E-e+,16.19919088
D-C+c+E-e+,0.82618637
D-C-c+E+e+,0.435823832
D-C+c+E+e+,0.040832979
D-C+c-E-e+,0.14020562
D-C-c+E+e-,0.044730051
C,56.90474439
E,23.42809857
c,78.27877896
e,96.16035307
Cw,1.470761581
V,8.754693376
VS,10.0301623
hrS,95.59874954
hrB,93.81206326
K,4.424053233
k,99.36484001
Kpa,1.294116716
Kpb,99.63221773
Jsa,4.006586627
Jsb,99.37697683
Jka,81.21257815
Jkb,58.27841118
Fya,56.90474439
Fyb,55.97315189
Fy3,83.40125046
M,78.93379919
N,68.77712394
S,43.1140125
s,88.83891136
U,99.07796984
Mia,0.465023906
Lua,6.437477286
Lub,99.28907687
Dia,0.979369651
Dib,99.56123575
Doa,56.77234277
Dob,86.59874954
Hy,99.63221773
Joa,99.3339463
Coa,99.58845164
Cob,5.881500824
Yta,99.40713498
Ytb,6.080066201
D+C-E-K-Jkb-,6.637809106
D+C-E-K-Jkb-,4.770839603
