buttonLabel,buttonValue
A,20
B,0.00001
O,80
AB,0.00001
D,80
D+C+c+E-e+,20
D+C+c-E-e+,40
D+C+c+E+e+,0.00001
D+C-c+E+e+,0.00001
D+C-c+E+e-,0.00001
D+C-c+E-e+,10
D+C+c-E+e+,0.00001
D+C+c+E+e-,10
D+C+c-E+e-,0.00001
D-C-c+E-e+,20
D-C+c+E-e+,0.00001
D-C-c+E+e+,0.00001
D-C+c+E+e+,0.00001
D-C+c-E-e+,0.00001
D-C-c+E+e-,0.00001
C,70
E,10
c,60
e,90
Cw,0.00001
V,10
VS,10
hrS,90
hrB,90
K,10
k,100
Kpa,0.00001
Kpb,100
Jsa,0.00001
Jsb,100
Jka,80
Jkb,50
Fya,60
Fyb,30
Fy3,70
M,90
N,70
S,70
s,70
U,100
Mia,0.00001
Lua,0.00001
Lub,100
Dia,0.00001
Dib,100
Doa,80
Dob,80
Hy,100
Joa,100
Coa,100
Cob,0.00001
Yta,80
Ytb,40
D+C-E-K-Jkb-,0.00001
D+C-E-K-Jkb-,0.00001
