buttonLabel,buttonValue
A,19
B,23
O,57
AB,1.4
D,93
D+C+c+E-e+,1.4
D+C+c-E-e+,74
D+C+c+E+e+,12
D+C-c+E+e+,1.4
D+C-c+E+e-,2.7
D+C-c+E-e+,0.00001
D+C+c-E+e+,1.4
D+C+c+E+e-,0.00001
D+C+c-E+e-,0.00001
D-C-c+E-e+,4.1
D-C+c+E-e+,0.00001
D-C-c+E+e+,1.4
D-C+c+E+e+,0.00001
D-C+c-E-e+,1.4
D-C-c+E+e-,0.00001
C,89
E,19
c,23
e,96
Cw,0.00001
V,0.00001
VS,0.00001
hrS,96
hrB,96
K,0.00001
k,100
Kpa,0.00001
Kpb,100
Jsa,0.00001
Jsb,100
Jka,81
Jkb,53
Fya,100
Fyb,15
Fy3,100
M,84
N,66
S,8
s,97
U,100
Mia,6.8
Lua,0.00001
Lub,100
Dia,6.8
Dib,99
Doa,24
Dob,97
Hy,100
Joa,100
Coa,100
Cob,0.00001
Yta,99
Ytb,4.1
D+C-E-K-Jkb-,0.00001
D+C-E-K-Jkb-,0.00001
