buttonLabel,buttonValue
A,22
B,8
O,67
AB,2.5
D,71
D+C+c+E-e+,21
D+C+c-E-e+,37
D+C+c+E+e+,5.9
D+C-c+E+e+,0.00001
D+C-c+E+e-,1.7
D+C-c+E-e+,5
D+C+c-E+e+,0.00001
D+C+c+E+e-,0.8
D+C+c-E+e-,0.00001
D-C-c+E-e+,27
D-C+c+E-e+,0.8
D-C-c+E+e+,0.00001
D-C+c+E+e+,0.00001
D-C+c-E-e+,0.8
D-C-c+E+e-,0.00001
C,66
E,8
c,62
e,98
Cw,1.7
V,2
VS,1
hrS,98
hrB,98
K,6
k,99
Kpa,1.7
Kpb,100
Jsa,0.8
Jsb,100
Jka,85
Jkb,44
Fya,69
Fyb,54
Fy3,94
M,74
N,74
S,35
s,89
U,99
Mia,0.8
Lua,9.3
Lub,99
Dia,1.7
Dib,99
Doa,69
Dob,82
Hy,100
Joa,100
Coa,99
Cob,11.8
Yta,98
Ytb,9.3
D+C-E-K-Jkb-,2.5
D+C-E-K-Jkb-,2.5
