buttonLabel,buttonValue
A,40
B,7
O,52
AB,0.8
D,83
D+C+c+E-e+,29
D+C+c-E-e+,17
D+C+c+E+e+,17
D+C-c+E+e+,13
D+C-c+E+e-,4.9
D+C-c+E-e+,1.2
D+C+c-E+e+,1
D+C+c+E+e-,0.5
D+C+c-E+e-,0.1
D-C-c+E-e+,16
D-C+c+E-e+,0.4
D-C-c+E+e+,0.6
D-C+c+E+e+,0.00001
D-C+c-E-e+,0.00001
D-C-c+E+e-,0.00001
C,64
E,37
c,82
e,95
Cw,1.9
V,0.00001
VS,0.00001
hrS,94
hrB,94
K,6
k,100
Kpa,2
Kpb,100
Jsa,0.1
Jsb,100
Jka,75
Jkb,72
Fya,73
Fyb,74
Fy3,100
M,80
N,69
S,51
s,91
U,100
Mia,0.2
Lua,6.4
Lub,100
Dia,1.6
Dib,100
Doa,59
Dob,87
Hy,100
Joa,100
Coa,100
Cob,7.3
Yta,100
Ytb,6.6
D+C-E-K-Jkb-,0.1
D+C-E-K-Jkb-,0.00001
