buttonLabel,buttonValue
A,23
B,10
O,67
AB,0.00001
D,87
C,64
E,18
c,72
e,95
Cw,2.6
V,10
VS,13
hrS,95
hrB,95
K,3
k,100
Kpa,0.00001
Kpb,100
Jsa,2.6
Jsb,100
Jka,100
Jkb,100
Fya,85
Fyb,41
Fy3,64
M,51
N,90
S,77
s,62
U,39
Mia,87
Lua,100
Lub,13
Dia,100
Dib,2.6
Doa,100
Dob,62
Hy,85
Joa,97
Coa,100
Cob,100
Yta,100
Ytb,98
D+C+c+E-e+,31
D+C+c-E-e+,26
D+C+c+E+e+,2.6
D+C-c+E+e+,13
D+C-c+E+e-,0.00001
D+C-c+E-e+,10
D+C+c-E+e+,0.00001
D+C+c+E+e-,2.6
D+C+c-E+e-,0.00001
D-C-c+E-e+,10
D-C+c+E-e+,2.6
D-C-c+E+e+,0.00001
D-C+c+E+e+,0.00001
D-C+c-E-e+,0.00001
D-C-c+E+e-,0.00001
D+C-E-K-Jkb-,1
D+C-E-K-Jkb-,0.00001
