buttonLabel,buttonValue
A,22
B,29
O,42
AB,6.8
D,91
D+C+c+E-e+,24
D+C+c-E-e+,42
D+C+c+E+e+,16
D+C-c+E+e+,4.5
D+C-c+E+e-,2.3
D+C-c+E-e+,0.9
D+C+c-E+e+,0.5
D+C+c+E+e-,0.5
D+C+c-E+e-,0.00001
D-C-c+E-e+,7.7
D-C+c+E-e+,0.5
D-C-c+E+e+,0.00001
D-C+c+E+e+,0.5
D-C+c-E-e+,0.00001
D-C-c+E+e-,0.00001
C,85
E,24
c,57
e,97
Cw,0.5
V,0.00001
VS,0.00001
hrS,97
hrB,97
K,2
k,100
Kpa,0.00001
Kpb,100
Jsa,0.00001
Jsb,100
Jka,86
Jkb,62
Fya,82
Fyb,56
Fy3,100
M,87
N,55
S,51
s,87
U,100
Mia,0.5
Lua,0.9
Lub,100
Dia,0.5
Dib,100
Doa,61
Dob,84
Hy,100
Joa,100
Coa,100
Cob,1.35
Yta,99
Ytb,11
D+C-E-K-Jkb-,0.00001
D+C-E-K-Jkb-,0.00001
