buttonLabel,buttonValue
A,25
B,6
O,68
AB,1
D,71
D+C+c+E-e+,23
D+C+c-E-e+,29
D+C+c+E+e+,6.3
D+C-c+E+e+,5.6
D+C-c+E+e-,4.4
D+C-c+E-e+,2.8
D+C+c-E+e+,0.00001
D+C+c+E+e-,0.3
D+C+c-E+e-,0.00001
D-C-c+E-e+,28
D-C+c+E-e+,0.2
D-C-c+E+e+,0.5
D-C+c+E+e+,0.00001
D-C+c-E-e+,0.3
D-C-c+E+e-,0.2
C,58
E,17
c,71
e,95
Cw,2.5
V,1
VS,1
hrS,95
hrB,95
K,6
k,99
Kpa,2.1
Kpb,100
Jsa,0.00001
Jsb,100
Jka,79
Jkb,53
Fya,59
Fyb,72
Fy3,100
M,79
N,70
S,47
s,85
U,100
Mia,0.2
Lua,7.2
Lub,100
Dia,0.00001
Dib,100
Doa,63
Dob,84
Hy,100
Joa,100
Coa,100
Cob,10.2
Yta,100
Ytb,7.9
D+C-E-K-Jkb-,0.3
D+C-E-K-Jkb-,0.3
