,Arabic,Asian,Black,Indigenous,Latin American,South Asian,White,Blank,Other,Arabic,Asian,Black,Indigenous,Latin American,South Asian,White,Blank,Other,Weighted sum,Total Probability
A,20,19,24,40,32,22,25,22,23,0.07355646,0.517101872,6.125781528,12.25450532,1.412283936,1.79624863,5.59029055,0.962854002,0.329900707,29.06252301,29.06252299
B,0.00001,23,15,7,2,29,6,8,10,3.67782E-08,0.625965424,3.828613455,2.144538431,0.088267746,2.367782285,1.341669732,0.350128728,0.14343509,10.89040093,10.89040092
O,80,57,59,52,67,42,68,67,67,0.29422584,1.551305616,15.05921292,15.93085692,2.956969491,3.42920193,15.2055903,2.932328097,0.961015103,58.32070621,58.32070614
AB,0.00001,1.4,2.3,0.8,0.00001,6.8,1,2.5,0.00001,3.67782E-08,0.038102243,0.587054063,0.245090106,4.41339E-07,0.555204122,0.223611622,0.109415228,1.43435E-07,1.758478006,1.758478003
D,80,93,89,83,83,91,71,71,87,0.29422584,2.531077584,22.71643983,25.42809854,3.663111459,7.429937515,15.87642516,3.107392461,1.247885283,82.29459368,82.2945936
C,70,89,33,64,62,85,58,66,64,0.25744761,2.422214032,8.422949601,19.60720851,2.736300126,6.940051525,12.96947408,2.888562006,0.917984576,57.16219206,57.16219198
E,10,19,14,37,37,24,17,8,18,0.03677823,0.517101872,3.573372558,11.33541742,1.632953301,1.95954396,3.801397574,0.350128728,0.258183162,23.46487681,23.46487679
c,60,23,96,82,85,57,71,62,72,0.22066938,0.625965424,24.50312611,25.12173591,3.751379205,4.653916905,15.87642516,2.713497642,1.032732648,78.49944838,78.49944833
e,90,96,100,95,93,97,95,98,95,0.33100407,2.612725248,25.5240897,29.10445014,4.104450189,7.919823505,21.24310409,4.289076918,1.362633355,96.49135721,96.49135712
Cw,0.00001,0.00001,0.4,1.9,1.7,0.5,2.5,1.7,2.6,3.67782E-08,2.72159E-07,0.102096359,0.582089003,0.075027584,0.040823833,0.559029055,0.074402355,0.037293123,1.47076162,1.470761618
V,10,0.00001,32,0.00001,3,0.00001,1,2,10,0.03677823,2.72159E-07,8.167708704,3.06363E-06,0.132401619,8.16477E-07,0.223611622,0.087532182,0.14343509,8.791471599,8.791471604
VS,10,0.00001,37,0.00001,3,0.00001,1,1,13,0.03677823,2.72159E-07,9.443913189,3.06363E-06,0.132401619,8.16477E-07,0.223611622,0.043766091,0.186465617,10.06694052,10.06694053
hrS,90,96,99,94,93,97,95,98,95,0.33100407,2.612725248,25.2688488,28.7980875,4.104450189,7.919823505,21.24310409,4.289076918,1.362633355,95.92975368,95.92975359
hrB,90,96,92,94,93,97,95,98,95,0.33100407,2.612725248,23.48216252,28.7980875,4.104450189,7.919823505,21.24310409,4.289076918,1.362633355,94.1430674,94.1430673
K,10,0.00001,2,6,6,2,6,6,3,0.03677823,2.72159E-07,0.510481794,1.838175798,0.264803238,0.16329533,1.341669732,0.262596546,0.043030527,4.460831467,4.46083146
k,100,100,100,100,100,100,99,99,100,0.3677823,2.7215888,25.5240897,30.6362633,4.4133873,8.1647665,22.13755058,4.332843009,1.4343509,99.73262239,99.73262229
Kpa,0.00001,0.00001,0.4,0.1,0.8,0.00001,2.1,1.7,0.00001,3.67782E-08,2.72159E-07,0.102096359,0.030636263,0.035307098,8.16477E-07,0.469584406,0.074402355,1.43435E-07,0.71202775,0.712027749
Kpb,100,100,100,100,100,100,100,100,100,0.3677823,2.7215888,25.5240897,30.6362633,4.4133873,8.1647665,22.3611622,4.3766091,1.4343509,100.0000001,100
Jsa,0.00001,0.00001,15,100,1.7,0.00001,0.00001,0.8,2.6,3.67782E-08,2.72159E-07,3.828613455,30.6362633,0.075027584,8.16477E-07,2.23612E-06,0.035012873,0.037293123,34.6122137,34.61221373
Jsb,100,100,100,100,100,100,100,100,100,0.3677823,2.7215888,25.5240897,30.6362633,4.4133873,8.1647665,22.3611622,4.3766091,1.4343509,100.0000001,100
Jka,0.00001,0.00001,75,0.1,100,100,0.00001,0.8,100,3.67782E-08,2.72159E-07,19.14306728,0.030636263,4.4133873,8.1647665,2.23612E-06,0.035012873,1.4343509,33.22122366,33.22122358
Jkb,100,100,75,100,100,100,100,100,100,0.3677823,2.7215888,19.14306728,30.6362633,4.4133873,8.1647665,22.3611622,4.3766091,1.4343509,93.61897768,93.61897757
Fya,80,81,91,75,72,86,79,85,85,0.29422584,2.204486928,23.22692163,22.97719748,3.177638856,7.02169919,17.66531814,3.720117735,1.219198265,81.50680405,81.50680397
Fyb,50,53,47,72,76,62,53,44,41,0.18389115,1.442442064,11.99632216,22.05810958,3.354174348,5.06215523,11.85141597,1.925708004,0.588083869,58.46230237,58.46230232
Fy3,60,100,18,73,77,82,59,69,64,0.22066938,2.7215888,4.594336146,22.36447221,3.398308221,6.69510853,13.1930857,3.019860279,0.917984576,57.12541384,57.12541376
M,30,15,24,74,68,56,72,54,51,0.11033469,0.40823832,6.125781528,22.67083484,3.001103364,4.57226924,16.10003678,2.363368914,0.731518959,56.08348664,56.08348658
N,70,100,38,100,100,100,100,94,90,0.25744761,2.7215888,9.699154086,30.6362633,4.4133873,8.1647665,22.3611622,4.114012554,1.29091581,83.65869816,83.65869805
S,90,97,75,80,88,87,79,74,77,0.33100407,2.639941136,19.14306728,24.50901064,3.883780824,7.103346855,17.66531814,3.238690734,1.104450193,79.61860987,79.61860978
s,70,100,75,69,55,55,70,74,62,0.25744761,2.7215888,19.14306728,21.13902168,2.427363015,4.490621575,15.65281354,3.238690734,0.889297558,69.95991178,69.95991173
U,70,100,32,51,53,51,47,35,39,0.25744761,2.7215888,8.167708704,15.62449428,2.339095269,4.164030915,10.50974623,1.531813185,0.559396851,45.87532185,45.87532181
Mia,70,100,91,91,87,87,85,89,87,0.25744761,2.7215888,23.22692163,27.8789996,3.839646951,7.103346855,19.00698787,3.895182099,1.247885283,89.1780067,89.17800662
Lua,100,99,98,100,100,100,100,99,100,0.3677823,2.694372912,25.01360791,30.6362633,4.4133873,8.1647665,22.3611622,4.332843009,1.4343509,99.41853633,99.41853623
Lub,0.00001,4.1,1.4,6.6,7.5,11,7.9,9.3,13,3.67782E-08,0.111585141,0.357337256,2.021993378,0.331004048,0.898124315,1.766531814,0.407024646,0.186465617,6.080066251,6.080066238
Dia,100,100,99,100,100,100,100,99,100,0.3677823,2.7215888,25.2688488,30.6362633,4.4133873,8.1647665,22.3611622,4.332843009,1.4343509,99.70099311,99.70099301
Dib,0.00001,6.8,0.3,1.6,1.7,0.5,0.00001,1.7,2.6,3.67782E-08,0.185068038,0.076572269,0.490180213,0.075027584,0.040823833,2.23612E-06,0.074402355,0.037293123,0.979369688,0.979369687
Doa,100,99,100,100,100,100,100,99,100,0.3677823,2.694372912,25.5240897,30.6362633,4.4133873,8.1647665,22.3611622,4.332843009,1.4343509,99.92901812,99.92901802
Dob,80,100,49,59,58,61,63,69,62,0.29422584,2.7215888,12.50680395,18.07539535,2.559764634,4.980507565,14.08753219,3.019860279,0.889297558,59.13497616,59.13497609
Hy,80,100,90,87,88,84,84,82,85,0.29422584,2.7215888,22.97168073,26.65354907,3.883780824,6.85840386,18.78337625,3.588819462,1.219198265,86.9746231,86.97462302
Joa,100,100,100,100,100,100,100,100,97,0.3677823,2.7215888,25.5240897,30.6362633,4.4133873,8.1647665,22.3611622,4.3766091,1.391320373,99.95696957,99.95696947
Coa,100,100,100,100,100,100,100,100,100,0.3677823,2.7215888,25.5240897,30.6362633,4.4133873,8.1647665,22.3611622,4.3766091,1.4343509,100.0000001,100
Cob,100,100,100,100,100,100,100,100,100,0.3677823,2.7215888,25.5240897,30.6362633,4.4133873,8.1647665,22.3611622,4.3766091,1.4343509,100.0000001,100
Yta,100,100,100,100,100,100,100,100,100,0.3677823,2.7215888,25.5240897,30.6362633,4.4133873,8.1647665,22.3611622,4.3766091,1.4343509,100.0000001,100
Ytb,80,99,80,100,99,99,100,98,98,0.29422584,2.694372912,20.41927176,30.6362633,4.369253427,8.083118835,22.3611622,4.289076918,1.405663882,94.55240907,94.55240897
,Arabic,Asian,Black,Indigenous,Latin American,South Asian,White,Blank,Other,#VALUE!,Asian,Black,Indigenous,Latin American,South Asian,White,Blank,Other,Weighted sum,Total Probability
D+C+c+E-e+,20,1.4,23,29,28,24,23,21,31,0.07355646,0.038102243,5.87054064,8.884516366,1.235748436,1.95954395,5.143067304,0.919087901,0.444648767,24.56881206,
D+C+c-E-e+,40,74,4.3,17,14,42,29,37,26,0.14711292,2.013975727,1.097535859,5.208164766,0.617874218,3.429201913,6.484737035,1.619345349,0.372931224,20.990879,
D+C+c+E+e+,0.00001,12,3,17,18,16,6.3,5.9,2.6,3.67782E-08,0.326590658,0.765722692,5.208164766,0.794409709,1.306362634,1.408753218,0.258219934,0.037293122,10.10551677,
D+C-c+E+e+,0.00001,1.4,10,13,12,4.5,5.6,0.00001,13,3.67782E-08,0.038102243,2.552408974,3.982714233,0.529606472,0.367414491,1.252225083,4.38E-07,0.186465612,8.908937582,
D+C-c+E+e-,0.00001,2.7,0.4,4.9,5.8,2.3,4.4,1.7,0.00001,3.67782E-08,0.073482898,0.102096359,1.501176903,0.255976462,0.187789629,0.983891136,0.074402354,1.43E-07,3.178815921,
D+C-c+E-e+,10,0.00001,48,1.2,4.2,0.9,2.8,5,10,0.03677823,2.72E-07,12.25156308,0.36763516,0.185362265,0.073482898,0.626112541,0.218830453,0.143435086,13.90319998,
D+C+c-E+e+,0.00001,1.4,0.1,1,0.8,0.5,0.00001,0.00001,0.00001,3.67782E-08,0.038102243,0.02552409,0.306362633,0.035307098,0.040823832,2.24E-06,4.38E-07,1.43E-07,0.446122751,
D+C+c+E+e-,10,0.00001,0.00001,0.5,0.8,0.5,0.3,0.8,2.6,0.03677823,2.72E-07,2.55E-06,0.153181317,0.035307098,0.040823832,0.067083487,0.035012872,0.037293122,0.40548278,
D+C+c-E+e-,0.00001,0.00001,0.00001,0.1,0.00001,0.00001,0.00001,0.00001,0.00001,3.67782E-08,2.72E-07,2.55E-06,0.030636263,4.41E-07,8.16E-07,2.24E-06,4.38E-07,1.43E-07,0.0306432,
D-C-c+E-e+,20,4.1,8.7,16,17,7.7,28,27,10,0.07355646,0.111585142,2.220595807,4.901802133,0.750275836,0.628687017,6.261125413,1.181684444,0.143435086,16.27274733,
